WC	World Cup
OG	Olympic Games
EC	European Championship	Euro Championship	Euro Champ
CA	Copa America
SA	South American Championship	South American Champ	South American Ch	South Am Champ	S Am Champ	South Am Ch	S Am Ch
SA1	South American Championship I	South American Champ I	South American Ch I	South Am Champ I	S Am Champ I	South Am Ch I	S Am Ch I
SA2	South American Championship II	South American Champ II	South American Ch II	South Am Champ II	S Am Champ II	South Am Ch II	S Am Ch II
AC	Asian Cup
AR	African Nations Cup	African Cup
PAC	Panamerican Championship	Panamerican Champ	Panamerican Ch	Panam Champ
PAG	Panamerican Games	Panamerican G	Panam Games
CCH	CONCACAF Championship	CONCACAF Champ	N Am Champ
CCF	CCCF Championship	CCCF Champ
CGC	CONCACAF Gold Cup
NAC	North American Championship	North American Champ	N American Champ	N Am Champ
WQN	World Cup qualifier and North American Championship	North American Champ and World Cup qual	N American Champ and World Cup qual	N Am Champ & World Cup qual	NA Champ & WC qual	NA Ch & WC q
OC	Oceania Nations Cup	Oceania Nat Cup	Oceania Cup
OCT	Oceania Nations Cup and Trans-Tasman Cup	Oceania Nations Cup & Trans-Tasman Cup	Oceania Cup and Trans-Tasman Cup	Oceania Cup & Trans-Tasman Cup	Oce Cup & Trans-Tasman Cup	Oce Cup & Tr-Tasman Cup	Oce C & Tr-Tasman C	Oceania Nations Cup	Oceania Nat Cup	Oceania Cup
CC	Confederations Cup	Confed Cup
CFC	Confederations Cup qualifier and CONCACAF Cup	Confederations Cup qual and CONCACAF Cup	Confed Cup qual & CONCACAF Cup	Conf C q & CONCACAF C	CONCACAF Cup	CONCACAF C
IC	Intercontinental Championship	Intercontinental Champ	Intercont Champ	Intercont Ch	Interc Ch
AAC	Afro-Asian Cup	Afro-Asian C
AAG	Afro-Asian Games
AFT	Artemio Franchi Trophy	A Franchi Trophy	A Franchi T
WFC	World Football Cup	World Ftbl Cup	World Ftbl C
VWC	VIVA World Cup	VIVA World C	VIVA WC
MWC	Mini World Cup	Mini World C	Mini WC
WQT	World Cup qualifying	World Cup qual	World Cup q
WQ	World Cup qualifier	World Cup qual	World Cup q
WQA	World Cup and African Nations Cup qualifier	World Cup and African Cup qualifier	World Cup & African Cup qual	World Cup & Afr Cup q	WC & Afr Cup q
WQS	World Cup and Asian Cup qualifier	World Cup & Asian Cup qual	World Cup & As Cup q	WC & As Cup q
WQC	World Cup qualifier and CONCACAF Championship	World Cup qual & CONCACAF Champ	World Cup q & CONCACAF Ch	WC q & NA Ch
WQO	World Cup qualifier and Oceania Nations Cup	World Cup qualifier and Oceania Cup	World Cup qual & Oceania Cup	WC q & Oce Cup
WCQ	World Cup and CONCACAF Championship qualifier	World Cup & CONCACAF Champ qual	World Cup & CONCACAF Ch q	WC & NA Ch q
WOQ	World Cup and Oceania Nations Cup qualifier	World Cup and Oceania Cup qualifier	World Cup & Oceania Cup qual	WC & Oce Cup q
WOS	World Cup and Oceania Nations Cup qualifier and South Pacific Games	World Cup and Oceania Cup qualifier and South Pacific Games	World Cup & Oceania Cup qual & S Pacific Games	World Cup & Oceania Cup q & S Pac Games	World Cup & Oce Cup q & S Pac Games	World Cup & Oce Cup q & S Pac G	W Cup & Oce Cup q & S Pac G	WC & Oce Cup q & S Pac G	WC & OC q & SPG
OQG	Oceania Nations Cup qualifier and South Pacific Games	Oceania Cup qualifier and South Pacific Games	Oceania Cup qual & S Pacific Games	Oceania Cup q & S Pac Games	Oce Cup q & S Pac Games	Oce Cup q & S Pac G	Oce Cup q & S Pac G	Oce Cup q & S Pac G	OC q & SPG
WQL	World Cup qualifier and Baltic Cup	World Cup qual & Baltic Cup	World Cup q & Baltic Ch	WC q & Blt C
WQB	World Cup qualifier and British Championship	World Cup qual & British Champ	World Cup q & British Ch	WC q & Br Ch
WQD	World Cup qualifier and Nordic Championship	World Cup qual & Nordic Champ	World Cup q & Nordic Ch	WC q & Nrd Ch
AFQ	World Cup AFC and CAF qualifying	World Cup AFC and CAF qual	World Cup AFC & CAF qual	WC AFC & CAF qual	WC AFC & CAF q	WC AFC/CAF q	AFC/CAF WCq
AOQ	World Cup AFC and OFC qualifying	World Cup AFC and OFC qual	World Cup AFC & OFC qual	WC AFC & OFC qual	WC AFC & OFC q	WC AFC/OFC q	AFC/OFC WCq
ACQ	World Cup AFC qualifying	World Cup AFC qual	WC AFC qual	WC AFC q
CFQ	World Cup CAF qualifying	World Cup CAF qual	WC CAF qual	WC CAF q
CNQ	World Cup CCCF and NAFC qualifying	World Cup CCCF & NAFC qual	WC CCCF/NAFC qual	WC CCCF/NAFC q	WC N Am q
NCQ	World Cup CONCACAF qualifying	World Cup CONCACAF qual	WC CONCACAF qual	WC CONCACAF q	WC N Am q
MBQ	World Cup CONMEBOL qualifying	World Cup CONMEBOL qual	WC CONMEBOL qual	WC CONMEBOL q	WC S Am q
OFQ	World Cup OFC qualifying	World Cup OFC qual	WC OFC qual	WC OFC q
UEQ	World Cup UEFA qualifying	World Cup UEFA qual	WC UEFA qual	WC UEFA q
WQP	World Cup qualifying playoffs	World Cup qual playoffs	World Cup q playoffs	WC q playoffs
OGC	Olympic Games Consolation Tournament	Olympic Games Cons Tourn	Oly G Cons
OQ	Olympic Games qualifier	Olympic Games qual	Olympic qual	Olympic q
ON	Olympic Games qualifier and Nordic Championship	Olympic Games qual & Nordic Champ	Oly qual & Nrd Ch	Oly q & Nrd Ch
ENL	European Nations League	European League	Euro League
ENA	European Nations League A	European League A	Euro League A
EAB	European Nations League A/B Play-off	European Nations League A/B	European League A/B	Euro League A/B	E League A/B
ABT	European Nations League A/B Play-offs	European Nations League A/B	European League A/B	Euro League A/B	E League A/B
ENB	European Nations League B	European League B	Euro League B
EBC	European Nations League B/C Play-off	European Nations League B/C	European League B/C	Euro League B/C	E League B/C
BCT	European Nations League B/C Play-offs	European Nations League B/C	European League B/C	Euro League B/C	E League B/C
ENC	European Nations League C	European League C	Euro League C
ECD	European Nations League C/D Play-off	European Nations League C/D	European League C/D	Euro League C/D	E League C/D
CDT	European Nations League C/D Play-offs	European Nations League C/D	European League C/D	Euro League C/D	E League C/D
END	European Nations League D	European League D	Euro League D
CLQ	CONCACAF Nations League qualifier	CONCACAF Nations League qual	CONCACAF Nations League q	CONCACAF Nat League q	CONCACAF League q	N Am League q
NLQ	CONCACAF Nations League qualifying	CONCACAF Nations League qual	CONCACAF Nations League q	CONCACAF Nat League q	CONCACAF League q	N Am League q
CNL	CONCACAF Nations League	CONCACAF Nat League	CONCACAF League	N Am League
CLA	CONCACAF Nations League A	CONCACAF Nat League A	CONCACAF League A	N Am League A
CLB	CONCACAF Nations League B	CONCACAF Nat League B	CONCACAF League B	N Am League B
CLC	CONCACAF Nations League C	CONCACAF Nat League C	CONCACAF League C	N Am League C
LA	League A
LAB	League A/B
LB	League B
LBC	League B/C
LC	League C
LCD	League C/D
LD	League D
ACF	AFC and CAF
AOF	AFC and OFC
CNA	CCCF and NAFC
P	Playoffs
Q	Qualifying
T	Tournaments
I	Intercontinental
EQ	European Championship qualifier	European Championship qual	European Champ qual	Euro Champ qual	Euro Ch q
EQT	European Championship qualifying	European Championship qual	European Champ qual	Euro Champ qual	Euro Ch q
EQB	European Championship qualifier and British Championship	European Champ qual & British Champ	Euro Champ qual & British Champ	Euro Champ q & British Champ	Euro Ch q & British Ch	Euro Ch q & Br Ch
EQN	European Championship qualifier and Nordic Championship	European Champ qual & Nordic Champ	Euro Champ qual & Nordic Champ	Euro Champ q & Nordic Champ	Euro Ch q & Nordic Ch	Euro Ch q & Nrd Ch
CAQ	Copa America qualifier	Copa America qual	Copa America q
CQT	Copa America qualifying	Copa America qual	Copa America q
SAQ	South American Championship qualifier	South American Championship qual	South American Champ qual	South American Champ q	South American Ch q	South Am Champ q	S Am Champ q	South Am Ch q	S Am Ch q
SQT	South American Championship qualifying	South American Championship qual	South American Champ qual	South American Champ q	South American Ch q	South Am Champ q	S Am Champ q	South Am Ch q	S Am Ch q
SQ	Asian Cup qualifier	Asian Cup qual	Asian Cup q
AQ	Asian Cup qualifying	Asian Cup qual	Asian Cup q
SQC	Asian Cup qualifier and Asian Challenge Cup	Asian Cup qualifier & Asian Challenge Cup	Asian Cup qual & Asian Challenge Cup	Asian Cup q & Asian Challenge Cup	Asian Cup q & Asian Chlg Cup	As Cup q & As Chlg Cup	As C q & As Chlg C	As C q & As Ch C	Asian Challenge Cup	Asian Chlg Cup	As Chlg Cup	As Ch Cup
