fit,ratio,log_loss,brier,rps,accuracy,friendly_temperature,competitive_temperature
joint_refit,0.75175,0.881431527229,0.518781879024,0.172608147333,0.591162581996,0.890607476136,1.05583703146
joint_refit,0.75176,0.881431527154,0.518781875034,0.172608145623,0.591162581996,0.890607398448,1.05583731518
joint_refit,0.75177,0.881431527079,0.518781870789,0.17260814387,0.591183949061,0.890607397753,1.05583726504
joint_refit,0.75178,0.881431527006,0.518781866439,0.172608142098,0.591183949061,0.890607446281,1.05583706077
joint_refit,0.75179,0.881431526934,0.518781862442,0.172608140375,0.591183949061,0.890607524938,1.05583719807
joint_refit,0.7518,0.881431526863,0.518781858421,0.172608138645,0.591183949061,0.890607648879,1.05583726939
joint_refit,0.75181,0.881431526793,0.518781854081,0.172608136893,0.591183949061,0.890607476229,1.05583726839
joint_refit,0.75182,0.881431526724,0.518781849759,0.172608135125,0.591162581996,0.890607524696,1.05583709137
joint_refit,0.75183,0.881431526657,0.518781845812,0.172608133405,0.591162581996,0.890607670092,1.05583721825
joint_refit,0.75184,0.88143152659,0.518781841563,0.172608131655,0.591162581996,0.89060764554,1.05583718019
joint_refit,0.75185,0.881431526524,0.518781837373,0.172608129915,0.591141214931,0.890607603114,1.05583721825
joint_refit,0.75186,0.881431526534,0.518781833353,0.172608128197,0.591162581996,0.890607603122,1.0558373936
joint_refit,0.75187,0.881431526553,0.518781829084,0.172608126431,0.591141214931,0.890607759951,1.05583716915
joint_refit,0.75188,0.881431526574,0.51878182508,0.172608124701,0.591162581996,0.890607939822,1.05583719973
joint_refit,0.75189,0.881431526595,0.518781820969,0.172608122982,0.591162581996,0.89060780842,1.0558373936
joint_refit,0.7519,0.881431526617,0.518781816699,0.172608121216,0.591162581996,0.890607965405,1.05583716541
joint_refit,0.75191,0.881431526641,0.518781812596,0.172608119494,0.591162581996,0.890607886858,1.05583731955
joint_refit,0.75192,0.881431526665,0.518781808205,0.172608117736,0.591141214931,0.890607729997,1.05583724113
joint_refit,0.75193,0.881431526691,0.51878180421,0.172608116011,0.591162581996,0.890607887232,1.05583729764
joint_refit,0.75194,0.881431526718,0.518781800092,0.172608114272,0.591162581996,0.890607995604,1.05583726951
joint_refit,0.75195,0.881431526746,0.518781795704,0.172608112518,0.591162581996,0.890607808417,1.05583721831
joint_refit,0.75196,0.881431526774,0.518781791705,0.172608110793,0.591141214931,0.890607968052,1.05583726672
joint_refit,0.75197,0.881431526804,0.51878178776,0.172608109077,0.591162581996,0.890608110694,1.05583738653
joint_refit,0.75198,0.881431526835,0.518781783303,0.172608107309,0.591162581996,0.890607972326,1.05583721825
joint_refit,0.75199,0.881431526868,0.518781779373,0.172608105595,0.591162581996,0.890608136327,1.05583733368
joint_refit,0.752,0.881431526901,0.518781775086,0.172608103835,0.591162581996,0.890608200511,1.05583716271
joint_refit,0.75201,0.881431526935,0.518781770912,0.1726081021,0.591141214931,0.890608189048,1.05583717686
joint_refit,0.75202,0.88143152697,0.51878176671,0.17260810037,0.591162581996,0.890608061154,1.05583726244
joint_refit,0.75203,0.881431527007,0.518781762362,0.172608098601,0.591162581996,0.890608140361,1.05583701295
joint_refit,0.75204,0.881431527044,0.51878175834,0.172608096877,0.591162581996,0.89060826764,1.05583706141
joint_refit,0.75205,0.881431527083,0.518781754403,0.172608095177,0.591162581996,0.890608247342,1.05583732662
fixed_temperatures,0.75395,0.881770229303,0.519046093129,0.172691472385,0.591162581996,0.9697407083655329,1.0635626456560392
