1994	07	01	CX	CC	4	1	IIC		19	519	481	−	−	220	222
1994	07	04	CX	CC	0	0	IIC		-6	513	487	0	0	220	222
1997	00	00	CC	CX	3	10	IIC		-41	446	554	0	+2	223	219
1997	00	00	CC	CX	0	3	IIC		-26	420	580	0	+2	223	219
1999	00	00	CX	CC	3	1	IIC		8	588	412	0	0	221	225
1999	00	00	CX	CC	4	0	IIC		10	598	402	0	0	221	225
2004	02	27	CC	CX	1	3	IIC		-16	386	614	−1	0	232	222
2004	03	01	CC	CX	1	0	IIC		20	406	594	+1	0	231	222
2005	06	24	CX	CC	0	1	IIC		-25	569	431	−3	0	227	233
2005	06	26	CX	CC	2	0	IIC		9	578	422	0	0	227	233
