2002	11	23	MC	VA	0	0	F	IT	-5	903	705	0	−	195	213
2011	05	07	MC	VA	2	1	F	IT	5	895	700	+1	0	199	214
2013	06	22	MC	VA	2	0	F	FR	7	902	693	0	−2	200	218
2014	05	10	MC	VA	2	0	F	IT	7	909	686	0	0	200	218
2017	04	29	MC	VA	0	0	F	IT	-6	903	692	0	+2	199	220
