1984	12	19	CF	GA	2	2	UDE	CG	1	1312	1334	0	−1	111	101
1985	12	07	GA	CG	1	0	UDE		23	1357	1471	+3	−5	97	79
1985	12	11	GA	CF	4	0	UDE		21	1378	1271	+3	−10	94	121
1985	12	14	GA	TD	3	0	UDE		18	1396	1272	+7	−8	87	120
1985	12	19	GA	CG	3	0	UDE		37	1433	1480	+5	−9	82	78
1986	01	22	GA	SN	0	1	F		-9	1424	1592	−3	+5	85	50
1986	08	13	SN	GA	1	0	F		3	1633	1421	0	0	41	86
1986	10	05	AO	GA	1	0	FQ		12	1473	1409	+1	−1	76	87
1986	10	19	GA	AO	1	0	FQ		18	1427	1455	+2	−2	85	78
1986	12	10	GA	CG	1	0	UDE	GQ	25	1452	1486	+6	−4	79	75
1986	12	14	GA	CF	1	0	UDE	GQ	9	1461	1227	+2	−2	77	128
1986	12	17	TD	GA	0	0	UDE	GQ	10	1287	1451	+2	−3	113	80
1987	04	08	GA	CI	1	0	F		12	1463	1601	+4	−2	76	49
1987	04	20	CM	GA	2	0	ACG	CG	15	1675	1448	+2	−2	35	81
1987	04	22	GA	TD	3	1	ACG	CG	17	1465	1264	+2	−5	79	123
1987	04	27	AO	GA	1	0	ACG	CG	18	1512	1447	+5	−2	70	80
1987	04	29	CG	GA	3	2	ACG		15	1442	1432	+3	−2	80	82
1987	11	25	GA	AO	0	0	F		-1	1431	1491	−1	+1	83	75
1987	12	09	CF	GA	1	1	UDE	TD	11	1217	1420	+2	−2	133	85
1987	12	11	TD	GA	1	1	UDE		3	1263	1417	+1	0	122	85
1987	12	16	CM	GA	1	0	UDE	TD	9	1652	1408	+1	−4	40	88
1987	12	18	GQ	GA	0	0	UDE	TD	15	1086	1393	+2	−2	154	90
1988	07	31	AO	GA	4	1	F		8	1511	1385	+1	−2	68	94
1988	10	09	GA	BF	3	0	FQ		29	1414	1395	+9	−9	87	94
1988	10	23	BF	GA	1	0	FQ		15	1410	1399	+3	−3	90	92
1988	11	23	GA	ML	4	0	F		14	1413	1398	+4	−3	88	92
1988	11	30	CM	GA	0	0	UDE		-16	1697	1429	−4	+4	36	85
1988	12	04	GA	GQ	3	0	UDE	CM	9	1438	1088	+2	−1	82	155
1988	12	06	CF	GA	0	0	UDE	CM	11	1239	1427	+4	−3	125	85
1988	12	08	CM	GA	0	1	UDE		-36	1668	1463	−5	+7	39	78
1988	12	15	MA	GA	5	2	F		6	1644	1457	0	−1	41	80
