1979	08	26	MU	KM	3	0	IOG	RE	8	1204	892	+2	−	132	174
1979	08	28	MU	KM	3	1	IOG	RE	6	1210	886	+2	−1	130	175
1979	08	29	KM	MV	2	1	IOG	RE	10	896	767	+2	0	173	180
1979	08	31	RE	KM	6	1	IOG		8	1142	888	+3	−1	142	174
1985	08	27	RE	KM	1	0	IOG	MU	6	1129	882	0	0	149	176
1985	08	29	KM	MV	2	2	IOG	MU	-6	876	740	−1	0	177	185
1990	08	21	MG	KM	1	0	IOG		1	1474	875	0	−1	71	184
1990	08	23	KM	RE	1	0	IOG	MG	26	901	1167	+5	−5	179	145
1990	08	27	MU	KM	4	0	IOG	MG	6	1272	895	+2	−2	119	181
1990	08	29	SC	KM	2	1	IOG	MG	11	1007	884	0	−2	170	183
1993	08	20	MG	KM	5	0	IOG	SC	2	1495	882	+2	0	80	198
1993	08	22	MU	KM	3	0	IOG	SC	6	1231	876	+3	0	144	198
1998	08	07	MG	KM	3	0	IOG	RE	2	1478	874	0	0	82	201
1998	08	09	SC	KM	3	0	IOG	RE	21	972	853	+3	−1	193	202
2003	08	30	RE	KM	1	0	IOG	MU	2	1280	851	+3	0	135	205
2003	09	02	RE	KM	4	0	IOG	MU	4	1284	847	+2	0	133	205
2003	09	04	MU	KM	5	0	IOG		3	1270	844	+1	0	140	205
2003	09	06	SC	KM	2	0	IOG	MU	11	1050	833	+3	−1	182	206
2006	12	14	YE	KM	2	0	ARQ		3	1221	830	0	−1	150	205
2006	12	17	KM	DJ	4	2	ARQ	YE	30	860	802	+1	−4	204	208
2007	08	10	KM	RE	1	1	IOG	MG	12	872	1234	0	−1	204	146
2007	08	14	MG	KM	3	0	IOG		5	1184	867	+2	0	159	204
2007	10	14	MG	KM	6	2	WQA		6	1210	861	0	0	156	204
2007	11	17	KM	MG	0	4	WQA		-14	847	1224	0	+4	204	150
2008	07	20	NA	KM	3	0	CSF	ZA	6	1260	841	+1	0	139	204
2008	07	22	MW	KM	1	0	CSF	ZA	2	1336	839	0	0	122	204
2008	07	24	LS	KM	1	0	CSF	ZA	6	1140	833	0	0	171	204
2009	10	18	BW	KM	0	0	CSF	ZW	-17	1278	850	−2	0	134	204
